barrio,Con muertos,Atropello,Ciclo Ruta,Glorieta,Interseccion,Lote o Predio,Paso Elevado,Paso Inferior,Paso a Nivel,Pontón,Puente,Tramo de via,Tunel,Via peatonal,cluster
Oriente,0.0,31.0,0.0,0.0,6.0,30.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,4
Pablo VI,0.0,38.0,0.0,0.0,8.0,14.0,0.0,0.0,0.0,1.0,0.0,86.0,0.0,0.0,4
Pajarito,0.0,11.0,0.0,0.0,25.0,46.0,0.0,0.0,0.0,0.0,0.0,125.0,0.0,0.0,4
Palenque,0.0,28.0,3.0,0.0,59.0,40.0,0.0,0.0,1.0,0.0,1.0,232.0,0.0,0.0,1
Palermo,0.0,89.0,1.0,37.0,64.0,43.0,11.0,1.0,0.0,0.0,17.0,374.0,0.0,0.0,1
Palmitas Sector Central,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4
Parque Juan Pablo II,3.0,42.0,2.0,73.0,139.0,81.0,0.0,0.0,0.0,0.0,0.0,716.0,0.0,0.0,2
Parque Norte,1.0,27.0,0.0,0.0,46.0,17.0,0.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0,1
Patio Bonito,4.0,41.0,7.0,5.0,163.0,52.0,7.0,1.0,1.0,0.0,8.0,956.0,0.0,0.0,2
Pedregal,1.0,187.0,2.0,11.0,199.0,175.0,0.0,0.0,0.0,0.0,0.0,654.0,0.0,0.0,2
Pedregal Alto,0.0,2.0,0.0,0.0,4.0,18.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,4
Pedregal Bajo,0.0,3.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,4
Perpetuo Socorro,9.0,198.0,23.0,124.0,1021.0,299.0,77.0,6.0,6.0,2.0,70.0,3454.0,2.0,0.0,0
Picachito,0.0,17.0,2.0,0.0,12.0,28.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,4
Picacho,1.0,155.0,2.0,0.0,91.0,194.0,0.0,2.0,0.0,0.0,0.0,610.0,0.0,0.0,2
Piedras Blancas,1.0,40.0,1.0,0.0,3.0,30.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0,4
Piedras Blancas - Matasano,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
Piedras Blancas Represa,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4
Playón de los Comuneros,1.0,72.0,2.0,0.0,73.0,38.0,0.0,0.0,0.0,0.0,1.0,280.0,0.0,0.0,1
Plaza de Ferias,1.0,8.0,0.0,0.0,25.0,7.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,4
Popular,0.0,139.0,3.0,0.0,37.0,107.0,0.0,0.0,0.0,0.0,0.0,391.0,0.0,0.0,1
Potrerito,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4
Prado,5.0,183.0,8.0,9.0,909.0,185.0,0.0,2.0,0.0,0.0,0.0,1229.0,0.0,0.0,5
Robledo,3.0,101.0,2.0,0.0,161.0,197.0,1.0,0.0,0.0,1.0,0.0,878.0,0.0,0.0,2
Rosales,2.0,87.0,4.0,7.0,542.0,109.0,11.0,5.0,0.0,0.0,1.0,1071.0,0.0,2.0,2
San Antonio,0.0,9.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,4
San Benito,14.0,404.0,8.0,8.0,555.0,256.0,14.0,11.0,5.0,1.0,17.0,2646.0,1.0,1.0,3
San Bernardo,3.0,123.0,4.0,0.0,320.0,110.0,0.0,0.0,0.0,2.0,1.0,834.0,0.0,0.0,2
San Diego,3.0,160.0,6.0,228.0,363.0,303.0,74.0,1.0,1.0,0.0,15.0,2278.0,0.0,0.0,3
San Germán,1.0,89.0,8.0,4.0,149.0,69.0,3.0,2.0,1.0,0.0,6.0,801.0,0.0,0.0,2
San Isidro,0.0,178.0,6.0,17.0,293.0,165.0,5.0,0.0,0.0,0.0,10.0,743.0,0.0,0.0,2
San Javier No.1,0.0,104.0,1.0,45.0,191.0,93.0,1.0,0.0,0.0,0.0,0.0,475.0,0.0,0.0,1
San Javier No.2,1.0,69.0,1.0,1.0,65.0,30.0,0.0,0.0,0.0,0.0,0.0,217.0,0.0,0.0,1
San Joaquín,0.0,39.0,1.0,1.0,141.0,43.0,1.0,1.0,0.0,0.0,0.0,466.0,0.0,1.0,1
San José de la Montaña,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4
San Jose Del Manzanillo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4
San José la Cima No. 1,0.0,14.0,0.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,4
San José la Cima No.2,0.0,4.0,1.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,4
San Lucas,0.0,10.0,2.0,7.0,37.0,42.0,0.0,1.0,0.0,0.0,0.0,236.0,0.0,0.0,1
San Martín de Porres,1.0,119.0,6.0,0.0,115.0,142.0,0.0,0.0,0.0,0.0,0.0,469.0,0.0,0.0,1
San Miguel,0.0,81.0,1.0,0.0,395.0,109.0,0.0,1.0,0.0,0.0,0.0,468.0,0.0,1.0,1
San Pablo,0.0,99.0,0.0,0.0,46.0,68.0,0.0,0.0,0.0,0.0,0.0,284.0,0.0,0.0,1
San Pedro,1.0,112.0,5.0,92.0,272.0,74.0,0.0,0.0,0.0,0.0,0.0,596.0,0.0,0.0,2
Santa Cruz,1.0,90.0,3.0,2.0,63.0,49.0,0.0,0.0,0.0,0.0,0.0,269.0,0.0,0.0,1
Santa Elena Sector Central,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,4
Santa Fé,8.0,230.0,18.0,134.0,566.0,281.0,22.0,1.0,1.0,1.0,8.0,2952.0,0.0,0.0,0
Santa Inés,0.0,121.0,4.0,2.0,99.0,113.0,0.0,1.0,0.0,0.0,0.0,432.0,0.0,0.0,1
Santa Lucía,0.0,45.0,0.0,0.0,63.0,21.0,0.0,0.0,0.0,0.0,0.0,212.0,0.0,0.0,1
Santa Margarita,1.0,38.0,1.0,0.0,36.0,70.0,1.0,1.0,1.0,0.0,3.0,272.0,0.0,0.0,1
Santa María de los Ángeles,1.0,40.0,8.0,0.0,119.0,106.0,7.0,4.0,1.0,0.0,19.0,1015.0,0.0,0.0,2
Santa Mónica,1.0,23.0,1.0,0.0,156.0,42.0,0.0,0.0,0.0,0.0,0.0,231.0,0.0,0.0,1
Santander,1.0,149.0,3.0,0.0,95.0,115.0,0.0,0.0,0.0,0.0,0.0,487.0,0.0,0.0,1
